id,station_cd,type_cd,line_group_cd,pass,#メモ
DEFAULT,100201,1,1,0,東京
DEFAULT,100202,1,1,0,品川
DEFAULT,100203,1,1,0,新横浜
DEFAULT,100204,1,1,1,小田原
DEFAULT,100205,1,1,1,熱海
DEFAULT,100206,1,1,1,三島
DEFAULT,100207,1,1,1,新富士
DEFAULT,100208,1,1,1,静岡
DEFAULT,100209,1,1,1,掛川
DEFAULT,100210,1,1,1,浜松
DEFAULT,100211,1,1,1,豊橋
DEFAULT,100212,1,1,1,三河安城
DEFAULT,100213,1,1,0,名古屋
DEFAULT,100214,1,1,1,岐阜羽島
DEFAULT,100215,1,1,1,米原
DEFAULT,100216,1,1,0,京都
DEFAULT,100217,1,1,0,新大阪
DEFAULT,100301,1,1,0,新大阪
DEFAULT,100302,1,1,0,新神戸
DEFAULT,100303,1,1,2,西明石
DEFAULT,100304,1,1,2,姫路
DEFAULT,100305,1,1,1,相生
DEFAULT,100306,1,1,0,岡山
DEFAULT,100307,1,1,1,新倉敷
DEFAULT,100308,1,1,2,福山
DEFAULT,100309,1,1,1,新尾道
DEFAULT,100310,1,1,1,三原
DEFAULT,100311,1,1,1,東広島
DEFAULT,100312,1,1,0,広島
DEFAULT,100313,1,1,1,新岩国
DEFAULT,100314,1,1,2,徳山
DEFAULT,100315,1,1,2,新山口
DEFAULT,100316,1,1,1,厚狭
DEFAULT,100317,1,1,1,新下関
DEFAULT,100318,1,1,0,小倉
DEFAULT,100319,1,1,0,博多
DEFAULT,100201,2,2,0,東京
DEFAULT,100202,2,2,0,品川
DEFAULT,100203,2,2,0,新横浜
DEFAULT,100204,2,2,2,小田原
DEFAULT,100205,2,2,2,熱海
DEFAULT,100206,2,2,2,三島
DEFAULT,100207,2,2,1,新富士
DEFAULT,100208,2,2,2,静岡
DEFAULT,100209,2,2,1,掛川
DEFAULT,100210,2,2,2,浜松
DEFAULT,100211,2,2,2,豊橋
DEFAULT,100212,2,2,1,三河安城
DEFAULT,100213,2,2,0,名古屋
DEFAULT,100214,2,2,2,岐阜羽島
DEFAULT,100215,2,2,2,米原
DEFAULT,100216,2,2,0,京都
DEFAULT,100217,2,2,0,新大阪
DEFAULT,100301,2,2,0,新大阪
DEFAULT,100302,2,2,0,新神戸
DEFAULT,100303,2,2,2,西明石
DEFAULT,100304,2,2,0,姫路
DEFAULT,100305,2,2,2,相生
DEFAULT,100306,2,2,0,岡山
DEFAULT,100307,2,2,0,新倉敷
DEFAULT,100308,2,2,0,福山
DEFAULT,100309,2,2,0,新尾道
DEFAULT,100310,2,2,0,三原
DEFAULT,100311,2,2,0,東広島
DEFAULT,100312,2,2,0,広島
DEFAULT,100313,2,2,1,新岩国
DEFAULT,100314,2,2,0,徳山
DEFAULT,100315,2,2,0,新山口
DEFAULT,100316,2,2,1,厚狭
DEFAULT,100317,2,2,0,新下関
DEFAULT,100318,2,2,0,小倉
DEFAULT,100319,2,2,0,博多
DEFAULT,100201,3,3,0,東京
DEFAULT,100202,3,3,0,品川
DEFAULT,100203,3,3,0,新横浜
DEFAULT,100204,3,3,0,小田原
DEFAULT,100205,3,3,0,熱海
DEFAULT,100206,3,3,0,三島
DEFAULT,100207,3,3,0,新富士
DEFAULT,100208,3,3,0,静岡
DEFAULT,100209,3,3,0,掛川
DEFAULT,100210,3,3,0,浜松
DEFAULT,100211,3,3,0,豊橋
DEFAULT,100212,3,3,0,三河安城
DEFAULT,100213,3,3,0,名古屋
DEFAULT,100214,3,3,0,岐阜羽島
DEFAULT,100215,3,3,0,米原
DEFAULT,100216,3,3,0,京都
DEFAULT,100217,3,3,0,新大阪
DEFAULT,100301,3,3,0,新大阪
DEFAULT,100302,3,3,0,新神戸
DEFAULT,100303,3,3,0,西明石
DEFAULT,100304,3,3,0,姫路
DEFAULT,100305,3,3,0,相生
DEFAULT,100306,3,3,0,岡山
DEFAULT,100307,3,3,0,新倉敷
DEFAULT,100308,3,3,0,福山
DEFAULT,100309,3,3,0,新尾道
DEFAULT,100310,3,3,0,三原
DEFAULT,100311,3,3,0,東広島
DEFAULT,100312,3,3,0,広島
DEFAULT,100313,3,3,0,新岩国
DEFAULT,100314,3,3,0,徳山
DEFAULT,100315,3,3,0,新山口
DEFAULT,100316,3,3,0,厚狭
DEFAULT,100317,3,3,0,新下関
DEFAULT,100318,3,3,0,小倉
DEFAULT,100319,3,3,0,博多
DEFAULT,100301,4,4,0,新大阪
DEFAULT,100302,4,4,0,新神戸
DEFAULT,100303,4,4,1,西明石
DEFAULT,100304,4,4,2,姫路
DEFAULT,100305,4,4,1,相生
DEFAULT,100306,4,4,0,岡山
DEFAULT,100307,4,4,1,新倉敷
DEFAULT,100308,4,4,2,福山
DEFAULT,100309,4,4,1,新尾道
DEFAULT,100310,4,4,1,三原
DEFAULT,100311,4,4,1,東広島
DEFAULT,100312,4,4,0,広島
DEFAULT,100313,4,4,1,新岩国
DEFAULT,100314,4,4,1,徳山
DEFAULT,100315,4,4,2,新山口
DEFAULT,100316,4,4,1,厚狭
DEFAULT,100317,4,4,1,新下関
DEFAULT,100318,4,4,0,小倉
DEFAULT,100319,4,4,0,博多
DEFAULT,101001,4,4,0,博多
DEFAULT,101002,4,4,1,新鳥栖
DEFAULT,101003,4,4,2,久留米
DEFAULT,101004,4,4,1,筑後船小屋
DEFAULT,101005,4,4,1,新大牟田
DEFAULT,101006,4,4,1,新玉名
DEFAULT,101007,4,4,0,熊本
DEFAULT,101008,4,4,1,新八代
DEFAULT,101009,4,4,1,新水俣
DEFAULT,101010,4,4,1,出水
DEFAULT,101011,4,4,2,川内
DEFAULT,101012,4,4,0,鹿児島中央
DEFAULT,100301,5,5,0,新大阪
DEFAULT,100302,5,5,0,新神戸
DEFAULT,100303,5,5,1,西明石
DEFAULT,100304,5,5,2,姫路
DEFAULT,100305,5,5,1,相生
DEFAULT,100306,5,5,0,岡山
DEFAULT,100307,5,5,1,新倉敷
DEFAULT,100308,5,5,0,福山
DEFAULT,100309,5,5,1,新尾道
DEFAULT,100310,5,5,1,三原
DEFAULT,100311,5,5,1,東広島
DEFAULT,100312,5,5,0,広島
DEFAULT,100313,5,5,1,新岩国
DEFAULT,100314,5,5,2,徳山
DEFAULT,100315,5,5,2,新山口
DEFAULT,100316,5,5,1,厚狭
DEFAULT,100317,5,5,2,新下関
DEFAULT,100318,5,5,2,小倉
DEFAULT,100319,5,5,0,博多
DEFAULT,101001,5,5,0,博多
DEFAULT,101002,5,5,0,新鳥栖
DEFAULT,101003,5,5,0,久留米
DEFAULT,101004,5,5,2,筑後船小屋
DEFAULT,101005,5,5,2,新大牟田
DEFAULT,101006,5,5,2,新玉名
DEFAULT,101007,5,5,0,熊本
DEFAULT,101008,5,5,2,新八代
DEFAULT,101009,5,5,2,新水俣
