type_cd,type_name,type_name_k,type_name_r,type_name_zh,type_name_ko,color,direction,#メモ,#着手済
1,のぞみ,ノゾミ,Nozomi,希望,노조미,#FFD400,0,,COMPLETE
2,ひかり,ヒカリ,Hikari,光,히카리,#FF0000,0,,COMPLETE
3,こだま,コダマ,Kodama,回声,고다마,#3050FF,0,,COMPLETE
4,みずほ,ミズホ,Mizuho,瑞穗,미즈호,#FFA500,0,,COMPLETE
5,さくら,サクラ,Sakura,樱,사쿠라,#FF69B4,0,,COMPLETE
6,つばめ,ツバメ,Tsubame,燕,쓰바메,#40E0D0,0,,COMPLETE
7,はやぶさ,ハヤブサ,Hayabusa,隼,하야부사,#008000,0,,COMPLETE
8,はやて,ハヤテ,Hayate,疾风,하야테,#008000,0,,COMPLETE
9,やまびこ,ヤマビコ,Yamabiko,山彦,야마비코,#008001,0,,COMPLETE
10,なすの,ナスノ,Nasuno,那须野,나스노,#008002,0,,COMPLETE
11,こまち,コマチ,Komachi,小町,고마치,#FF0080,0,,COMPLETE
12,つばさ,ツバサ,Tsubasa,翼,쓰바사,#FF8000,0,,COMPLETE
13,とき,トキ,Toki,朱鹭,도키,#008000,0,,COMPLETE
14,たにがわ,タニガワ,Tanigawa,谷川,다니가와,#0000FF,0,,COMPLETE
15,かがやき,カガヤキ,Kagayaki,光辉,가가야키,#FFD400,0,,COMPLETE
16,はくたか,ハクタカ,Hakutaka,白鹰,하쿠타카,#FF0000,0,,COMPLETE
17,あさま,アサマ,Asama,浅间,아사마,#0000FF,0,,COMPLETE
18,つるぎ,ツルギ,Tsurugi,剑,쓰루기,#3050FF,0,,COMPLETE
19,かもめ,カモメ,KAMOME,海鸥,카모메,#E10017,0,,COMPLETE
100,普通,フツウ,Local,慢车,보통,#1F63C6,0,,PARTIAL
101,各駅停車,カクエキテイシャ,Local,每站停车,각역정차,#1F63C7,0,,PARTIAL
102,快速,カイソク,Rapid,快车,쾌속,#DC143C,0,,PARTIAL
103,特別快速,トクベツカイソク,Special Rapid,特别快车,특별쾌속,#DC143C,0,,COMPLETE
104,通勤快速,ツウキンカイソク,Commuter Rapid,通勤快车,통근쾌속,#DC143C,0,,COMPLETE
105,快速(赤),カイソク(アカ),Rapid(Red),快车,쾌속,#FF0000,0,,NOT
106,快速(緑),カイソク(ミドリ),Rapid(Green),快车,쾌속,#00FF00,0,,NOT
107,ホームライナー,ホームライナー,Home Liner,家用班轮,홈 라이너,#DC143C,0,,NOT
108,区間快速,クカンカイソク,Regional Rapid,区域快车,구간쾌속,#DC143C,0,,PARTIAL
109,快速みえ,カイソクミエ,Rapid Mie,快速三重,쾌속미에,#DC143C,0,,COMPLETE
110,新快速,シンカイソク,Special Rapid,新快速,새쾌속,#0071BE,0,,COMPLETE
111,直通快速,チョクツウカイソク,Direct Rapid,直接快速,직통쾌속,#F5A200,0,,COMPLETE
112,B快速,Bカイソク,B Rapid,B快速,B쾌속,#0071BE,0,,COMPLETE
113,おくたま号,オクタマゴウ,Okutama,奧多摩号,오쿠타마호,#F15A22,0,,COMPLETE
114,大和路快速,ヤマトジカイソク,Yamatoji Rapid,大和路快速,야마토지 쾌속,#02AD73,0,,COMPLETE
115,丹波路快速,タンバジカイソク,Tambaji Rapid,坦巴路快速,단바로 쾌속,#FEC210,0,,COMPLETE
116,みやこ路快速,ミヤコジカイソク,Miyakoji Rapid,都路快速,미야코지 쾌속,#FEC210,0,,COMPLETE
117,関空快速,カンクウカイソク,Kansai Airport Rapid,关空快速,간쿠 쾌속,#007AC2,0,,COMPLETE
118,紀州路快速,キシュウジカイソク,Kishūji Rapid,紀州路快速,기슈로 쾌속,#FD7E00,0,,COMPLETE
119,青梅特快,オウメトッカイ,Ōme Special Rapid,青梅特快,오메특쾌,#F15A22,0,,COMPLETE
120,中央特快,チュウオウトッカイ,Chūō Special Rapid,中央特快,중앙특쾌,#F15A23,0,,COMPLETE
121,通勤特快,ツウキントッカイ,Commuter Special Rapid,通勤特快,통근특쾌,#F15A24,0,,COMPLETE
122,サンライナー,サンライナー,Sun Liner,Sun Liner,산 라이너,#DC143C,0,,COMPLETE
123,マリンライナー,マリンライナー,Marine Liner,Marine Liner,마린라이나,#DC143C,0,,NOT
124,快速ことぶき,カイソクコトブキ,Rapid Kotobuki,快速寿,쾌속 축수,#DC143C,0,,NOT
125,シティライナー,シティライナー,City Liner,City Liner,시티 라이너,#DC143C,0,,NOT
